IME PREZIME POBEDE POL_POZICIJE
Lewis Hamilton 105 104
Michael Schumacher 91 68
Max Verstappen 65 44
Sebastian Vettel 53 57
Alain Prost 51 33
Ayrton Senna 41 65
Fernando Alonso 32 22
Nigel Mansell 31 32
Jackie Stewart 27 17
Jim Clark 25 33
Niki Lauda 25 24
Juan_Manuel Fangio 24 0
Nico Rosberg 23 30
Nelson Piquet 23 0
Kimi Raikkonen 21 18
Stirling Moss 16 0
Jenson Button 15 8
Emerson Fittipaldi 14 6
Jack Brabham 14 0
Alberto Ascari 13 0
Carlos Reutemann 12 0
Mario Andretti 12 0
Jacques Villeneuve 11 0
Gilles Villeneuve 6 0
George Russell 6 0
